"VenueConnect — SEO Page Architecture Summary","",""
"Tab","Pages","Description"
"Per city tab (16 cities)","Varies","Event+City, Vendor+City, Venue+City, Area variants"
"Near Me (All Gujarat)","89","Global near-me pages for all event/vendor/venue types"
"Page Type","Color Code","Search Intent"
"Event + City","Teal","Navigational / Transactional"
"Vendor + City","Blue","Transactional"
"Venue + City","Green","Transactional"
"Event + City Area","Gold","Transactional (Hyper-local)"
"Vendor + City Area","Purple","Transactional (Hyper-local)"
"Venue + City Area","Orange","Transactional (Hyper-local)"
"Event + Near Me","Light Blue","Navigational / Local"
"Vendor + Near Me","Light Purple","Local / Transactional"
"Venue + Near Me","Light Green","Local / Transactional"
"Priority","Color","Action"
"High","Green badge","Build first — highest search volume & intent"
"Medium","Amber badge","Build Month 2–3"
"Low","Gray badge","Build Month 4+"
"Total cities","16","Including Ahmedabad, Surat, Vadodara etc."
"Event types","55","Wedding, Birthday, Corporate etc."
"Vendor categories","22","Photographers, Caterers, DJs etc."
"Venue types","12","Banquet Halls, Farmhouses, Hotels etc."
